TOWN,COUNTY,TOWN_ID,COUNTY_ID,AREA,SHOW_NAME,SHOW_ID
仁德鄉,臺南縣,10011270,10011,50425261.2506,臺南縣仁德鄉,S11-10011270
埔鹽鄉,彰化縣,10007140,10007,39058325.1777,彰化縣埔鹽鄉,S07-10007140
淡水鎮,臺北縣,10001100,10001,72010913.2945,臺北縣淡水鎮,S01-10001100
白河鎮,臺南縣,10011030,10011,127928447.1956,臺南縣白河鎮,S11-10011030
中西區,臺南市,10021080,10021,6372559.7754,臺南市中西區,S21-10021080
新莊市,臺北縣,10001050,10001,20696648.2915,臺北縣新莊市,S01-10001050
延平鄉,臺東縣,10014130,10014,480642178.3073,臺東縣延平鄉,S14-10014130
六腳鄉,嘉義縣,10010080,10010,62306987.961,嘉義縣六腳鄉,S10-10010080
平鎮市,桃園縣,10003100,10003,43427631.1535,桃園縣平鎮市,S03-10003100
獅潭鄉,苗栗縣,10005170,10005,79385593.3554,苗栗縣獅潭鄉,S05-10005170
鳳林鎮,花蓮縣,10015020,10015,127451843.6146,花蓮縣鳳林鎮,S15-10015020
枋寮鄉,屏東縣,10013160,10013,58884115.305,屏東縣枋寮鄉,S13-10013160
大埔鄉,嘉義縣,10010170,10010,174289066.2138,嘉義縣大埔鄉,S10-10010170
苓雅區,高雄市,64000080,64000,8195374.5454,高雄市苓雅區,S23-64000080
大甲鎮,臺中縣,10006030,10006,59771861.4007,臺中縣大甲鎮,S06-10006030
烏來鄉,臺北縣,10001290,10001,333414154.86,臺北縣烏來鄉,S01-10001290
彰化市,彰化縣,10007010,10007,65757830.3457,彰化縣彰化市,S07-10007010
春日鄉,屏東縣,10013310,10013,155546874.0671,屏東縣春日鄉,S13-10013310
名間鄉,南投縣,10008060,10008,79272489.7873,南投縣名間鄉,S08-10008060
楠梓區,高雄市,64000040,64000,27631830.7375,高雄市楠梓區,S23-64000040
尖石鄉,新竹縣,10004120,10004,522925766.1903,新竹縣尖石鄉,S04-10004120
南港區,臺北市,63000090,63000,21963695.3736,臺北市南港區,S22-63000090
三義鄉,苗栗縣,10005130,10005,67718029.8676,苗栗縣三義鄉,S05-10005130
內湖區,臺北市,63000100,63000,32019748.4912,臺北市內湖區,S22-63000100
大安區,臺北市,63000030,63000,11331460.1897,臺北市大安區,S22-63000030
松山區,臺北市,63000010,63000,8706123.1749,臺北市松山區,S22-63000010
潮州鎮,屏東縣,10013020,10013,42525387.6415,屏東縣潮州鎮,S13-10013020
左營區,高雄市,64000030,64000,20303971.1921,高雄市左營區,S23-64000030
福興鄉,彰化縣,10007060,10007,50288390.7465,彰化縣福興鄉,S07-10007060
